"","div","date","eng","daily_cases","new_cases","date_id","add"
"412","Daegu","2020/4/14","Daegu",13644,6,85,6
"413","Daegu","2020/4/15","Daegu",13646,2,86,2
"414","Daegu","2020/4/16","Daegu",13654,8,87,8
"415","Daegu","2020/4/17","Daegu",13654,0,88,0
"416","Daegu","2020/4/18","Daegu",13660,6,89,6
"417","Daegu","2020/4/19","Daegu",13664,4,90,4
"418","Daegu","2020/4/20","Daegu",13666,2,91,2
"419","Daegu","2020/4/21","Daegu",13670,4,92,4
"420","Daegu","2020/4/22","Daegu",13672,2,93,2
"421","Daegu","2020/4/23","Daegu",13680,8,94,8
"422","Daegu","2020/4/24","Daegu",13684,4,95,4
"423","Daegu","2020/4/25","Daegu",13690,6,96,6
"424","Daegu","2020/4/26","Daegu",13692,2,97,2
"425","Daegu","2020/4/27","Daegu",13694,2,98,2
"426","Daegu","2020/4/28","Daegu",13698,4,99,4
"427","Daegu","2020/4/29","Daegu",13704,6,100,6
"428","Daegu","2020/4/30","Daegu",13704,0,101,0
"429","Daegu","2020/5/1","Daegu",13704,0,102,0
"430","Daegu","2020/5/2","Daegu",13704,0,103,0
"431","Daegu","2020/5/3","Daegu",13712,8,104,8
"432","Daegu","2020/5/4","Daegu",13712,0,105,0
"433","Daegu","2020/5/5","Daegu",13712,0,106,0
"434","Daegu","2020/5/6","Daegu",13712,0,107,0
"435","Daegu","2020/5/7","Daegu",13712,0,108,0
"436","Daegu","2020/5/8","Daegu",13718,6,109,6
"437","Daegu","2020/5/9","Daegu",13718,0,110,0
"438","Daegu","2020/5/10","Daegu",13722,4,111,4
"439","Daegu","2020/5/11","Daegu",13722,0,112,0
"440","Daegu","2020/5/12","Daegu",13724,2,113,2
"441","Daegu","2020/5/13","Daegu",13730,6,114,6
"442","Daegu","2020/5/14","Daegu",13730,0,115,0
"443","Daegu","2020/5/15","Daegu",13736,6,116,6
"444","Daegu","2020/5/16","Daegu",13738,2,117,2
"445","Daegu","2020/5/17","Daegu",13740,2,118,2
"446","Daegu","2020/5/18","Daegu",13742,2,119,2
"447","Daegu","2020/5/19","Daegu",13742,0,120,0
"448","Daegu","2020/5/20","Daegu",13744,2,121,2
"449","Daegu","2020/5/21","Daegu",13744,0,122,0
"450","Daegu","2020/5/22","Daegu",13744,0,123,0
"451","Daegu","2020/5/23","Daegu",13746,2,124,2
"452","Daegu","2020/5/24","Daegu",13746,0,125,0
"453","Daegu","2020/5/25","Daegu",13748,2,126,2
"454","Daegu","2020/5/26","Daegu",13750,2,127,2
"455","Daegu","2020/5/27","Daegu",13756,6,128,6
"456","Daegu","2020/5/28","Daegu",13760,4,129,4
"457","Daegu","2020/5/29","Daegu",13760,0,130,0
"458","Daegu","2020/5/30","Daegu",13764,4,131,4
"459","Daegu","2020/5/31","Daegu",13766,2,132,2
"460","Daegu","2020/6/1","Daegu",13768,2,133,2
"461","Daegu","2020/6/2","Daegu",13768,0,134,0
"462","Daegu","2020/6/3","Daegu",13770,2,135,2
"463","Daegu","2020/6/4","Daegu",13770,0,136,0
"464","Daegu","2020/6/5","Daegu",13772,2,137,2
"465","Daegu","2020/6/6","Daegu",13772,0,138,0
"466","Daegu","2020/6/7","Daegu",13774,2,139,2
"467","Daegu","2020/6/8","Daegu",13776,2,140,2
"468","Daegu","2020/6/9","Daegu",13776,0,141,0
"469","Daegu","2020/6/10","Daegu",13776,0,142,0
"470","Daegu","2020/6/11","Daegu",13776,0,143,0
"471","Daegu","2020/6/12","Daegu",13778,2,144,2
"472","Daegu","2020/6/13","Daegu",13784,6,145,6
"473","Daegu","2020/6/14","Daegu",13788,4,146,4
"474","Daegu","2020/6/15","Daegu",13788,0,147,0
"475","Daegu","2020/6/16","Daegu",13788,0,148,0
"476","Daegu","2020/6/17","Daegu",13790,2,149,2
"477","Daegu","2020/6/18","Daegu",13792,2,150,2
"478","Daegu","2020/6/19","Daegu",13792,0,151,0
"479","Daegu","2020/6/20","Daegu",13796,4,152,4
"480","Daegu","2020/6/21","Daegu",13798,2,153,2
"481","Daegu","2020/6/22","Daegu",13800,2,154,2
"482","Daegu","2020/6/23","Daegu",13802,2,155,2
"483","Daegu","2020/6/24","Daegu",13806,4,156,4
"484","Daegu","2020/6/25","Daegu",13806,0,157,0
"485","Daegu","2020/6/26","Daegu",13806,0,158,0
"486","Daegu","2020/6/27","Daegu",13808,2,159,2
"487","Daegu","2020/6/28","Daegu",13808,0,160,0
"488","Daegu","2020/6/29","Daegu",13812,4,161,4
"489","Daegu","2020/6/30","Daegu",13812,0,162,0
"490","Incheon","2020/1/20","Incheon",5,NA,0,NA
"491","Incheon","2020/1/21","Incheon",5,0,1,0
"492","Incheon","2020/1/22","Incheon",5,0,2,0
"493","Incheon","2020/1/23","Incheon",5,0,3,0
"494","Incheon","2020/1/24","Incheon",5,0,4,0
"495","Incheon","2020/1/25","Incheon",5,0,5,0
"496","Incheon","2020/1/26","Incheon",5,0,6,0
