"","city_eng_name","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","avg_temp","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_outside_10lower","win7_gathering_outside_10over","stay_at_home","school_close","childcare_close","shop_close","restaurant_close","bar_close","entertainment_close","cultural_close","sports_indoor_close","sports_outdoor_close","gathering_outside_10lower","gathering_outside_10over","cv"
"2491","Cuyahoga,Ohio","Ohio","2020-08-04",0.861331097321912,0.0260412283725192,71,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0302337027578451
"2492","Cuyahoga,Ohio","Ohio","2020-08-05",0.867716666617392,0.0264774281707609,69,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0305139098848677
"2493","Cuyahoga,Ohio","Ohio","2020-08-06",0.874053233589817,0.0269226359327636,69.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0308020551816848
"2494","Cuyahoga,Ohio","Ohio","2020-08-07",0.898809380290692,0.0276327916433751,72,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0307437730950673
"2495","Cuyahoga,Ohio","Ohio","2020-08-08",0.881790499057301,0.0276642283774589,71.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.031372790256908
"2496","Cuyahoga,Ohio","Ohio","2020-08-09",0.881602653383657,0.0279206361715807,75.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0316703177609768
"2497","Cuyahoga,Ohio","Ohio","2020-08-10",0.894529563393,0.0283584936233751,83.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0317021312474121
"2498","Cuyahoga,Ohio","Ohio","2020-08-11",0.896830922329029,0.028619024750035,79,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0319112823136302
"2499","Cuyahoga,Ohio","Ohio","2020-08-12",0.917353655080056,0.0291701491616339,76.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0317981500374447
"2500","Cuyahoga,Ohio","Ohio","2020-08-13",0.931434980430873,0.0296179092578652,75.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0317981500374446
"2501","Cuyahoga,Ohio","Ohio","2020-08-14",0.936406392593008,0.0299124049771903,82,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.031943828249997
"2502","Cuyahoga,Ohio","Ohio","2020-08-15",0.977679292244822,0.0307634989847786,79.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0314658387763777
"2503","Dallas,Texas","Texas","2020-03-13",NA,12.3033143000528,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333334
"2504","Dallas,Texas","Texas","2020-03-14",NA,7.99510428495959,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838
"2505","Dallas,Texas","Texas","2020-03-15",15.6442413923311,4.51610348956493,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288675134594813
"2506","Dallas,Texas","Texas","2020-03-16",13.6873858408193,3.060592517434,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223606797749978
"2507","Dallas,Texas","Texas","2020-03-17",11.6775993462111,2.1684757596908,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185695338177053
"2508","Dallas,Texas","Texas","2020-03-18",10.2658655571151,1.62317586567785,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883008418
